Symbol,P/E Ratio,EPS,Prev Close
EVRG,21.5,2.72,60.040000915527344
EWBC,13.6,4.41,54.81999969482422
EWCZ,2053.12,0.01,15.970000267028809
EXC,20.06,2.01,41.81999969482422
EXEL,52.84,0.35,18.329999923706055
EXFY,62.7,0.12,7.510000228881836
EXLS,53.98,2.87,155.60000610351562
EXPD,25.88,4.07,105.31999969482422
EXPI,56.38,0.21,11.399999618530273
EXPO,59.87,1.64,97.37999725341797
EYE,40.88,0.44,17.510000228881836
EZGO,33.03,0.033,1.0099999904632568
FA,67.63,0.2,13.550000190734863
FAMI,8.5,0.05,0.41999998688697815
FANH,10.34,0.77,7.75
FARO,34.47,0.68,22.940000534057617
FAST,35.0,1.51,53.150001525878906
FBIZ,11.53,2.71,30.920000076293945
FBMS,9.36,2.85,25.399999618530273
FBNC,11.74,3.18,35.849998474121094
FCAP,7.28,3.27,24.059999465942383
FCBC,11.25,2.4,26.479999542236328
FCCO,13.05,1.54,19.190000534057617
FCFS,35.9,2.6,90.94999694824219
FCNCA,10.24,56.93,562.3400268554688
FCNCP,0.38,55.39,19.709999084472656
FDBC,14.43,3.27,45.65999984741211
FDUS,14.94,1.28,19.5
FELE,36.46,2.5,90.7699966430664
FFBC,12.87,1.78,21.299999237060547
FFIC,8.39,1.83,14.989999771118164
FFIN,20.85,1.56,31.670000076293945
FFIV,32.01,4.49,142.6199951171875
FFNW,15.66,0.88,13.130000114440918
FFWM,3.92,2.09,7.260000228881836
FGBI,7.8,2.21,16.989999771118164
FGBIP,8.2,2.29,17.309999465942383
FHB,14.3,1.57,21.229999542236328
FIBK,10.91,2.91,30.649999618530273
FINW,3.19,2.87,8.890000343322754
FISI,5.7,3.52,19.84000015258789
FISV,88.1,1.28,110.80999755859375
FITB,10.05,2.72,26.209999084472656
FITBI,8.71,2.72,23.40999984741211
FITBO,5.77,3.62,20.760000228881836
FITBP,6.36,3.62,23.06999969482422
FIVE,90.83,2.2,199.10000610351562
FIZZ,27.7,1.83,50.5
FKWL,2.93,1.679,4.769999980926514
FLEX,25.75,0.83,21.010000228881836
FLGT,3.53,8.91,31.020000457763672
FLIC,8.06,1.81,14.130000114440918
FLL,1512.0,0.0,7.28000020980835
FLNT,24.43,0.028,0.6840000152587891
FLWS,6.05,1.73,10.470000267028809
FMAO,12.78,1.87,23.915000915527344
FMBH,11.76,2.33,27.385000228881836
FMNB,7.96,1.68,13.390000343322754
FNCB,6.99,0.94,6.610000133514404
FNKO,75.45,0.11,8.300000190734863
FNLC,10.12,2.69,27.219999313354492
FNWB,8.68,1.36,11.789999961853027
FNWD,6.96,4.49,31.264999389648438
FOCS,90.26,0.57,51.45000076293945
FONR,15.34,1.05,16.184999465942383
FORM,27.93,1.04,29.049999237060547
FORR,61.8,0.53,32.755001068115234
FORTY,21.67,3.01,65.22000122070312
FOX,12.3,2.53,31.06999969482422
FOXA,13.37,2.53,33.78499984741211
FOXF,54.21,2.22,120.3499984741211
FRAF,8.46,3.63,30.700000762939453
FRBA,8.79,1.3,11.454999923706055
FRBK,7.56,0.185,1.3980000019073486
FRG,5.32,5.0,26.59000015258789
FRGAP,4.21,5.0,21.049999237060547
FRHC,44.82,1.59,71.22000122070312
FRME,11.97,3.03,36.29999923706055
FRPH,14.05,4.16,58.470001220703125
FRST,7.41,1.33,9.850000381469727
FSBC,5.88,3.57,21.0
FSBW,2.83,10.57,29.899999618530273
FSEA,24.9,0.36,8.9399995803833
FSFG,0.79,21.42,16.950000762939453
FSLR,43.3,4.84,209.5749969482422
FSTR,15.1,0.77,11.569999694824219
FSV,57.19,2.37,135.77049255371094
FTDR,21.4,1.31,28.030000686645508
FTFT,0.52,2.336,1.2200000286102295
FTNT,20.99,2.96,62.040000915527344
FULT,11.24,1.35,15.194999694824219
FULTP,12.08,1.56,18.84000015258789
FUNC,8.75,1.97,17.239999771118164
FUND,17.67,0.45,7.880000114440918
FUSB,18.68,0.41,7.678899765014648
FUTU,35.79,1.3,46.45000076293945
FVCB,10.15,1.22,12.420000076293945
FWRD,111.37,0.94,104.3550033569336
FXNC,8.32,1.97,16.420000076293945
FYBR,0.65,36.5,23.670000076293945
GABC,13.28,2.61,34.68000030517578
GAIA,97.78,0.027,2.640000104904175
GAMB,16.44,0.6,9.850000381469727
GASS,8.65,0.312,2.6982998847961426
GBDC,19.94,0.65,12.9399995803833
GBNY,19.82,0.54,10.760000228881836
GCBC,19.66,2.47,48.54999923706055
GCMG,37.5,0.21,7.875
GDEVW,0.01,,0.20280000567436218
GGAL,5.64,1.95,11.005000114440918
GIII,30.44,0.48,14.609999656677246
GILD,327.38,0.24,78.56999969482422
GILT,8.67,0.63,5.454999923706055
GLAD,29.84,0.31,9.25
GLBZ,13.18,0.59,7.75
GLDD,8.31,0.61,5.079999923706055
GLPI,21.22,2.39,50.70000076293945
GLRE,90.19,0.11,9.649999618530273
GMAB,55.35,0.66,36.59000015258789
GMGI,104.23,0.026,2.7100000381469727
GNSS,163.75,0.02,3.2750000953674316
GNTX,18.06,1.51,27.219999313354492
GO,34.09,0.8,27.309999465942383
GOCO,853.53,0.02,14.510000228881836
GOOD,138.89,0.09,12.5
GOODN,729.31,0.03,21.149999618530273
GOODO,636.25,,18.4512996673584
GOOG,1.41,75.04,105.45999908447266
GOOGL,1.4,75.04,104.76000213623047
GPP,7.18,1.74,12.5
GRFS,12.59,0.54,6.832499980926514
GROW,2.19,1.217,2.6600000858306885
GRVY,6.69,8.07,54.0
GRWG,31.91,0.11,3.509999990463257
GSBC,11.8,4.53,53.40999984741211
GSHD,103.92,0.48,49.880001068115234
GSMG,1.32,0.551,0.7300000190734863
GSMGW,0.02,0.551,0.009700000286102295
GTEC,1.73,1.033,1.7899999618530273
GTXAP,3.66,2.23,8.149999618530273
GWRS,259.8,0.05,12.729999542236328
HAFC,10.79,1.84,19.895000457763672
HAIN,55.88,0.29,16.485000610351562
HALO,37.7,0.91,34.29999923706055
HAS,16.66,2.97,49.42499923706055
HBAN,9.86,1.14,11.255000114440918
HBANM,23.2,0.89,20.690000534057617
HBANP,19.14,0.89,17.075000762939453
HBCP,8.69,4.0,34.740501403808594
HBNC,6.49,1.75,11.379899978637695
HBT,10.1,2.02,20.350000381469727
HCCI,69.16,0.51,35.27000045776367
HCDI,141.05,0.04,6.065000057220459
HCDIP,136.28,0.04,5.860000133514404
HCKT,108.42,0.17,17.889999389648438
HCSG,9.25,1.38,12.755000114440918
HEAR,3.43,2.37,8.140000343322754
HEES,195.64,0.23,44.40999984741211
HELE,9.03,10.08,91.0
HFBL,11.78,1.36,16.489999771118164
HFWA,14.13,1.65,23.309999465942383
HGBL,9.27,0.3,2.7799999713897705
HHR,33.33,0.45,15.029999732971191
HHS,5.57,1.73,9.65999984741211
HIBB,14.3,4.36,62.33000183105469
HIFS,8.1,29.7,240.4600067138672
HIHO,13.14,0.164,2.1549999713897705
HIMX,28.28,0.27,7.71999979019165
HIVE,11.72,0.27,3.1649999618530273
HLNE,28.92,2.48,71.5999984741211
HMNF,7.53,2.66,20.0
HMPT,0.88,2.354,2.0799999237060547
HMST,4.13,4.54,18.75
HNNA,8.39,0.95,7.949999809265137
HOLI,14.95,1.12,16.68000030517578
HOLX,10.81,7.28,78.72000122070312
HON,28.97,6.53,189.25999450683594
HONE,11.54,1.1,12.670000076293945
HOPE,10.24,1.04,10.654999732971191
HOUR,14.04,0.146,2.049999952316284
HPK,170.16,0.13,21.950000762939453
HQI,28.8,0.8,22.957300186157227
HQY,487.39,0.12,58.0099983215332
HRMY,223.44,0.2,43.79499816894531
HRZN,15.77,0.72,11.34000015258789
HSIC,28.13,2.82,79.2300033569336
HSTM,91.49,0.29,26.350000381469727
HTBI,16.19,1.62,26.190000534057617
HTBK,12.32,0.75,9.229999542236328
HTLD,17.96,0.88,15.824999809265137
HTLF,9.49,4.24,40.2599983215332
HTLFP,4.8,4.88,23.399999618530273
HTZ,13.86,1.19,16.530000686645508
HTZWW,7.53,,8.979999542236328
HUBG,37.55,2.19,82.2300033569336
HUDI,25.97,0.124,3.2200000286102295
HUT,4.84,0.403,1.950700044631958
HVBC,10.72,2.84,30.399999618530273
HWBK,7.66,3.0,23.0
HWC,19.42,1.96,38.04499816894531
HWKN,24.12,1.72,41.4900016784668
HYFM,4.71,0.39,1.8350000381469727
HYW,4.67,1.22,5.690000057220459
HZNP,60.27,1.81,109.08000183105469
IAC,17.06,2.97,50.70000076293945
IART,27.21,1.99,54.22999954223633
IBCP,5.61,3.33,18.68000030517578
IBKR,24.3,3.4,82.55999755859375
IBOC,16.7,2.62,43.7599983215332
IBTX,9.62,5.03,48.349998474121094
ICCH,13.38,1.16,15.720000267028809
ICFI,37.62,2.87,107.97000122070312
ICHR,20.97,1.42,29.780000686645508
ICLR,33.45,6.35,212.3800048828125
ICUI,40.57,4.02,163.10499572753906
IDCC,51.08,1.44,73.55500030517578
IDN,68.67,0.03,2.059999942779541
IDXX,72.99,6.71,489.7300109863281
IESC,17.5,2.41,42.20000076293945
IGIC,8.79,0.95,8.369999885559082
III,18.54,0.26,4.820000171661377
ILMN,51.39,4.28,219.94500732421875
ILPT,2.32,1.36,3.152600049972534
IMKTA,8.46,10.6,89.62999725341797
IMMR,41.87,0.19,7.954999923706055
IMOS,10.44,2.3,24.010000228881836
IMXI,27.56,0.88,24.25
INBK,5.85,3.42,20.0
INDB,16.98,4.12,70.05999755859375
INMD,18.17,1.74,31.549999237060547
INOD,369.0,0.02,7.380000114440918
INTC,6.35,4.46,28.299999237060547
INTG,854.4,0.05,44.04999923706055
INTU,63.48,6.55,415.9800109863281
INVA,4.98,2.27,11.3100004196167
